Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,#NAME?,#NAME?,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (pfx),FT% (pfx),FC% (pfx),FS% (pfx),FO% (pfx),SI% (pfx),SL% (pfx),CU% (pfx),KC% (pfx),EP% (pfx),CH% (pfx),SC% (pfx),KN% (pfx),UN% (pfx),vFA (pfx),vFT (pfx),vFC (pfx),vFS (pfx),vFO (pfx),vSI (pfx),vSL (pfx),vCU (pfx),vKC (pfx),vEP (pfx),vCH (pfx),vSC (pfx),vKN (pfx),FA-X (pfx),FT-X (pfx),FC-X (pfx),FS-X (pfx),FO-X (pfx),SI-X (pfx),SL-X (pfx),CU-X (pfx),KC-X (pfx),EP-X (pfx),CH-X (pfx),SC-X (pfx),KN-X (pfx),FA-Z (pfx),FT-Z (pfx),FC-Z (pfx),FS-Z (pfx),FO-Z (pfx),SI-Z (pfx),SL-Z (pfx),CU-Z (pfx),KC-Z (pfx),EP-Z (pfx),CH-Z (pfx),SC-Z (pfx),KN-Z (pfx),wFA (pfx),wFT (pfx),wFC (pfx),wFS (pfx),wFO (pfx),wSI (pfx),wSL (pfx),wCU (pfx),wKC (pfx),wEP (pfx),wCH (pfx),wSC (pfx),wKN (pfx),wFA/C (pfx),wFT/C (pfx),wFC/C (pfx),wFS/C (pfx),wFO/C (pfx),wSI/C (pfx),wSL/C (pfx),wCU/C (pfx),wKC/C (pfx),wEP/C (pfx),wCH/C (pfx),wSC/C (pfx),wKN/C (pfx),O-Swing% (pfx),Z-Swing% (pfx),Swing% (pfx),O-Contact% (pfx),Z-Contact% (pfx),Contact% (pfx),Zone% (pfx),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events
Dodgers,26,23,18,4.22,355,0,0,0,37,,371.1,1610,370,191,174,40,147,26,12,11,3,292,,,,,,,,,,,,7.08,3.56,1.99,8.97,0.97,0.255,1.39,0.295,71.50%,4.22,,,,,,,,,,,9.9,367.6,9.9,1,,,,0.23,-28.9,29.13,-15.79,-1.43,1.05,1.17,1.26,1.36,227,-0.67,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,65,109,103,,18.10%,9.10%,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,-1,-0.9,21 - 35,9.00%,,,,,,,4.23,29.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,100,99,101,99,101,100,101,106,107,,,,,,,,,,,,,,,,,,0
Athletics,28,20,25,4.34,358,0,0,0,34,,448,1938,412,232,216,50,210,14,20,16,1,304,,,,,,,,,,,,6.11,4.22,1.45,8.28,1,0.241,1.39,0.267,71.70%,4.74,,,,,,,,,,,11.6,442.4,11.6,1.2,,,,-3.58,-35.55,31.97,7.98,0.71,0.96,1.02,1.15,1.19,222,0.37,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,62,95,102,,15.70%,10.80%,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.6,-0.9,1.7,22 - 41,4.90%,,,,,,,4.73,29.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,111,90,88,93,91,95,91,103,102,113,,,,,,,,,,,,,,,,,,0
Red Sox,28,23,19,4.37,370,0,0,0,39,,451,1944,450,234,219,42,183,25,15,19,0,326,,,,,,,,,,,,6.51,3.65,1.78,8.98,0.84,0.258,1.4,0.296,70.30%,4.19,,,,,,,,,,,43.4,447.5,43.4,4.2,,,,7.05,-31.95,39,23.33,2.18,1.1,1.19,1.34,1.42,233,3.39,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,54,90,90,,16.80%,9.40%,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,-0.3,1.6,1.3,20 - 36,7.40%,,,,,,,4.43,28.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,96,111,95,77,97,95,100,100,109,98,,,,,,,,,,,,,,,,,,0
Cubs,28,15,21,4.45,414,0,0,0,45,,412.2,1851,446,232,204,47,195,38,9,23,1,295,,,,,,,,,,,,6.43,4.25,1.51,9.73,1.03,0.271,1.55,0.306,71.60%,4.64,,,,,,,,,,,-2.4,408.7,-2.4,-0.2,,,,0.28,-35.2,35.48,-27.28,-2.63,1.12,1.16,1.27,1.29,276,-0.94,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,64,105,108,,15.90%,10.50%,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,1.2,0.2,22 - 34,5.40%,,,,,,,4.66,29.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,128,76,107,107,105,113,104,101,93,123,,,,,,,,,,,,,,,,,,0
Marlins,28,17,31,4.45,400,0,0,0,29,,447,1956,424,238,221,55,218,38,12,16,1,404,,,,,,,,,,,,8.13,4.39,1.85,8.54,1.11,0.246,1.44,0.291,72.10%,4.44,,,,,,,,,,,4.6,442.1,4.6,0.5,,,,-2.4,-37.85,35.45,-22.12,-2.39,1.09,1.14,1.23,1.26,270,-1.21,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,76,107,106,,20.70%,11.20%,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6,-0.1,0.5,21 - 36,9.50%,,,,,,,4.17,34.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,131,92,94,114,95,104,99,102,121,130,,,,,,,,,,,,,,,,,,0
Brewers,27,21,22,4.46,321,0,0,0,31,,439.2,1966,454,238,218,46,233,28,18,19,1,291,,,,,,,,,,,,5.96,4.77,1.25,9.29,0.94,0.265,1.56,0.296,72.90%,4.85,,,,,,,,,,,3.5,435,3.5,0.3,,,,0.01,-34.94,34.95,12.27,1.02,1.03,1.04,1.24,1.29,184,1.2,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,59,92,104,,14.80%,11.90%,,,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,-0.4,2.7,2.2,23 - 32,3.00%,,,,,,,4.95,29.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,126,78,99,87,100,107,100,104,96,123,,,,,,,,,,,,,,,,,,0
Blue Jays,29,13,25,4.48,265,0,0,0,22,,381.1,1718,384,217,190,39,212,21,19,24,1,266,,,,,,,,,,,,6.28,5,1.25,9.06,0.92,0.258,1.56,0.292,71.00%,4.86,,,,,,,,,,,8.8,377.6,8.8,0.9,,,,-4.06,-33.7,29.64,-17.17,-1.58,1.02,1.07,1.12,1.17,137,-1.14,-2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,59,95,103,,15.50%,12.30%,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0,1.2,1.3,25 - 39,3.10%,,,,,,,4.93,30.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,132,78,96,85,97,107,99,102,101,129,,,,,,,,,,,,,,,,,,0
Royals,28,22,19,4.52,308,0,0,0,37,,426,1865,452,229,214,48,170,28,15,20,3,272,,,,,,,,,,,,5.75,3.59,1.6,9.55,1.01,0.269,1.46,0.297,71.60%,4.59,,,,,,,,,,,20.5,421.8,20.5,2,,,,1.03,-32.01,33.03,-17.35,-1.76,1.02,1.02,1.21,1.32,176,0.14,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,57,94,97,,14.60%,9.10%,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,-0.6,2.2,1.6,23 - 36,5.50%,,,,,,,4.65,26.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,99,102,94,101,100,101,102,95,95,,,,,,,,,,,,,,,,,,0
Pirates,27,19,29,4.52,391,0,0,0,29,,443.2,1978,475,246,223,41,197,32,28,24,2,324,,,,,,,,,,,,6.57,4,1.64,9.64,0.83,0.271,1.51,0.313,70.70%,4.37,,,,,,,,,,,8.9,439.7,8.9,1,,,,-2.28,-37.89,35.61,-8.15,-0.75,1.09,1.12,1.19,1.29,258,-0.12,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,72,106,103,,16.40%,10.00%,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1.8,0.8,-1,20 - 35,6.40%,,,,,,,4.54,28.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,120,81,106,87,105,110,106,99,96,116,,,,,,,,,,,,,,,,,,0
Orioles,29,13,23,4.53,336,0,0,0,29,,381.1,1699,342,204,192,49,226,29,15,15,2,316,,,,,,,,,,,,7.46,5.33,1.4,8.07,1.16,0.235,1.49,0.268,73.70%,5.01,,,,,,,,,,,2.7,377.6,2.7,0.3,,,,-2.51,-30.42,27.91,-2.27,-0.41,0.95,1.1,1.25,1.24,211,-0.52,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,63,95,106,,18.60%,13.30%,,,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2,0.1,2,22 - 38,5.30%,,,,,,,4.67,34.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,141,87,86,107,88,102,91,105,121,139,,,,,,,,,,,,,,,,,,0
Yankees,29,15,14,4.56,302,0,0,0,35,,373.1,1628,372,198,189,51,156,11,14,15,0,283,,,,,,,,,,,,6.82,3.76,1.81,8.97,1.23,0.255,1.41,0.286,73.10%,4.73,,,,,,,,,,,12.8,369.6,12.8,1.3,,,,-1.47,-28.64,27.16,9.88,0.96,0.94,0.96,1.13,1.08,175,0.98,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,53,100,102,,17.40%,9.60%,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.5,0,0.6,23 - 41,7.80%,,,,,,,4.37,30.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,99,112,95,113,96,96,97,104,113,100,,,,,,,,,,,,,,,,,,0
Padres,27,27,26,4.61,337,0,0,0,35,,422,1856,394,235,216,51,214,20,15,32,3,409,,,,,,,,,,,,8.72,4.56,1.91,8.4,1.09,0.242,1.44,0.294,70.30%,4.36,,,,,,,,,,,6.9,416.4,6.9,0.8,,,,-3.8,-36.03,32.24,-26.96,-2.87,1.06,1.09,1.2,1.24,199,-1.85,-1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,69,114,103,,22.00%,11.50%,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,0.2,-2.4,-2.2,22 - 37,10.50%,,,,,,,4.05,36.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,137,96,93,114,94,105,100,99,129,135,,,,,,,,,,,,,,,,,,0
Rockies,28,26,19,4.64,456,0,0,0,43,,516,2271,543,296,266,56,215,15,12,35,8,426,,,,,,,,,,,,7.43,3.75,1.98,9.47,0.98,0.266,1.47,0.312,68.50%,4.18,,,,,,,,,,,54.8,511.8,54.8,5.6,,,,6.94,-39.17,46.11,26.54,2.25,1.13,1.18,1.3,1.39,313,4.62,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,76,90,89,,18.80%,9.50%,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,-1.6,2,0.5,23 - 32,9.30%,,,,,,,4.19,30.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,113,99,104,102,103,107,106,97,110,110,,,,,,,,,,,,,,,,,,0
Rangers,29,21,18,4.77,310,0,0,0,34,,418.2,1854,457,232,222,45,179,20,15,25,4,280,,,,,,,,,,,,6.02,3.85,1.56,9.82,0.97,0.275,1.52,0.309,71.30%,4.55,,,,,,,,,,,25.8,416.1,25.8,2.5,,,,3.75,-30.2,33.95,2.01,0.14,1.03,1.14,1.4,1.52,180,2.34,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,52,98,97,,15.10%,9.70%,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,-1.7,2.6,0.9,23 - 39,5.50%,,,,,,,4.65,27.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,102,98,104,89,104,104,105,102,98,101,,,,,,,,,,,,,,,,,,0
White Sox,29,25,24,4.85,372,0,0,0,36,,441.1,1986,455,253,238,64,231,24,25,27,4,349,,,,,,,,,,,,7.12,4.71,1.51,9.28,1.31,0.263,1.55,0.297,73.70%,5.15,,,,,,,,,,,-11.9,437.6,-11.9,-1,,,,-0.61,-42.05,41.44,-5.22,-0.48,1.18,1.21,1.35,1.4,239,-2.98,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,74,107,112,,17.60%,11.60%,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.6,2.1,1.5,22 - 37,5.90%,,,,,,,4.6,32.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,124,94,99,120,99,106,101,105,114,121,,,,,,,,,,,,,,,,,,0
Twins,27,21,19,5.17,336,0,0,0,27,,459.1,2062,487,284,264,75,230,14,11,26,3,350,,,,,,,,,,,,6.86,4.51,1.52,9.54,1.47,0.267,1.56,0.295,71.30%,5.28,,,,,,,,,,,-11.2,455.6,-11.2,-0.9,,,,0.22,-34.13,34.35,-15.95,-1.27,0.95,1.06,1.27,1.45,199,-1.52,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,76,107,113,,17.00%,11.20%,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.4,1.9,1.5,22 - 34,5.80%,,,,,,,4.61,31.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,119,95,101,136,101,106,100,102,111,116,,,,,,,,,,,,,,,,,,0
Tigers,28,24,25,5.32,366,0,0,0,38,,544.2,2461,645,341,322,67,221,50,19,27,4,325,,,,,,,,,,,,5.37,3.65,1.47,10.66,1.11,0.29,1.59,0.316,68.80%,4.83,,,,,,,,,,,19,540.7,19,1.9,,,,-0.51,-42.51,42,-25.59,-2.3,1,1.08,1.29,1.35,227,-0.35,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,79,112,101,,13.20%,9.00%,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,-3.4,0.9,-2.5,23 - 34,4.20%,,,,,,,4.8,24.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,96,92,113,102,109,108,107,98,86,94,,,,,,,,,,,,,,,,,,0
Giants,28,25,24,5.35,381,0,0,0,34,,437.1,1970,469,279,260,64,211,31,16,13,3,318,,,,,,,,,,,,6.54,4.34,1.51,9.65,1.32,0.269,1.55,0.298,68.80%,5.11,,,,,,,,,,,-31.2,432.9,-31.2,-3,,,,-3.33,-36,32.67,-59.93,-6.11,0.98,1.08,1.17,1.18,249,-4.55,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,67,132,122,,16.10%,10.70%,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,-0.1,-1.4,-1.6,23 - 32,5.40%,,,,,,,4.66,30.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,131,76,106,138,104,113,101,97,94,125,,,,,,,,,,,,,,,,,,0
